service_id,service_type_id,client_name,hours,service_date,service_time,hourly_rate,total_revenue,branch_id,department,service_description
34,6,"Jones, Jennings and ",7,14/01/2023,21:49:23,300,2100,AM,Tax,Annual Tax Filing
35,1,"Cook, Ward and Lee",4,13/12/2023,22:32:05,600,2400,EM,Audit,Quarterly Review
36,8,Hopkins-Howell,7,20/06/2023,09:02:43,300,2100,AP,Legal,Quarterly Review
37,5,Hatfield-Fisher,8,13/12/2023,17:19:25,1500,12000,EM,Audit,Market Analysis
38,9,"Ibarra, Williams and",3,24/05/2023,17:18:47,1200,3600,EM,Management,Strategy Consulting
39,8,"Davila, Fuller and B",4,14/04/2023,15:08:36,300,1200,AM,Management,Legal Consultation
40,1,Snow-Knight,6,03/01/2023,04:28:02,600,3600,EA,Advisory,Strategy Consulting
41,7,"Horn, Nichols and Li",1,08/02/2023,01:11:12,600,600,AM,Management,Strategy Consulting
42,8,"Murray, Graves and F",8,06/11/2023,19:59:48,1200,9600,AM,Tax,Quarterly Review
43,1,Lambert and Sons,8,15/03/2023,23:44:07,1500,12000,AM,Advisory,Market Analysis
44,6,"Roman, Brown and Man",7,17/08/2023,14:20:29,1500,10500,AM,Tax,Legal Consultation
45,4,"Davis, Peters and Co",5,20/04/2023,06:36:14,300,1500,EM,Advisory,Annual Tax Filing
46,8,Cox-Fleming,2,26/12/2023,09:37:24,1500,3000,EM,Management,Strategy Consulting
47,3,"White, Davenport and",1,06/10/2023,13:54:54,300,300,AM,Advisory,Annual Tax Filing
48,3,"Reyes, Perez and Lee",5,28/01/2023,13:03:24,1200,6000,AM,Audit,Annual Tax Filing
49,9,Johnson PLC,3,08/04/2023,10:12:55,900,2700,EM,Tax,Legal Consultation
50,2,Lloyd Inc,8,16/12/2023,03:34:19,1200,9600,EA,Audit,Strategy Consulting
51,9,Welch Ltd,6,28/01/2023,14:46:26,1500,9000,AP,Legal,Strategy Consulting
52,9,Matthews-Ramos,4,10/12/2023,15:37:55,900,3600,AP,Audit,Legal Consultation
53,1,"Ryan, Kelley and Cla",15,14/08/2023,22:12:13,600,9000,EA,Audit,Annual Tax Filing
54,8,"Holloway, Williams a",2,29/07/2023,12:50:18,900,1800,EA,Tax,Strategy Consulting
55,5,Vargas-Foster,8,05/12/2023,00:45:49,300,2400,AM,Advisory,Quarterly Review
56,8,"Williams, Steele and",2,02/09/2023,02:51:45,900,1800,AM,Advisory,Legal Consultation
57,8,"Jenkins, Mckenzie an",4,27/07/2023,23:44:15,1500,6000,EM,Advisory,Quarterly Review
58,7,"Savage, Valdez and F",5,17/07/2023,13:57:18,300,1500,EM,Tax,Quarterly Review
59,6,Hill and Sons,7,04/02/2023,05:37:22,1500,10500,EM,Advisory,Strategy Consulting
60,1,"Myers, Reynolds and ",10,05/10/2023,11:56:24,900,9000,EM,Audit,Strategy Consulting
61,8,Whitehead Ltd,1,24/04/2023,15:12:18,300,300,EM,Tax,Market Analysis
62,8,Ray-Fisher,2,18/11/2023,19:01:56,1500,3000,AM,Tax,Legal Consultation
63,6,"Terrell, Maxwell and",1,26/12/2023,07:52:19,300,300,AM,Advisory,Market Analysis
64,9,Adkins and Sons,3,24/10/2023,06:41:39,900,2700,EM,Management,Strategy Consulting
65,5,Flores-Fowler,8,03/04/2023,11:57:58,1200,9600,EM,Tax,Quarterly Review
66,9,Johnson LLC,8,22/05/2023,00:58:30,300,2400,AP,Advisory,Quarterly Review
67,7,Parsons-Gross,1,18/01/2023,01:16:35,1200,1200,AM,Audit,Legal Consultation
68,3,"Reid, Stephens and A",6,20/06/2023,01:47:07,1200,7200,AP,Advisory,Quarterly Review
69,7,Durham-Thomas,4,04/10/2023,20:10:32,600,2400,AM,Tax,Market Analysis
70,3,Francis LLC,1,13/03/2023,15:09:07,300,300,AM,Management,Legal Consultation
71,1,Castro-Lopez,6,28/01/2023,01:01:34,1200,7200,AM,Advisory,Quarterly Review
72,1,Berry-Evans,10,17/04/2023,19:16:35,300,3000,EM,Tax,Quarterly Review
73,6,"Jones, Lopez and Jac",7,01/12/2023,11:10:28,1500,10500,AP,Legal,Market Analysis
74,4,"Daniel, Johnson and ",2,26/04/2023,11:37:50,900,1800,EM,Legal,Annual Tax Filing
75,8,Bell and Sons,6,02/04/2023,23:56:49,600,3600,AP,Management,Strategy Consulting
76,9,Mcclain-Turner,6,18/11/2023,11:58:06,900,5400,EM,Tax,Market Analysis
77,3,"Morrison, Taylor and",4,23/03/2023,00:08:13,600,2400,AP,Legal,Legal Consultation
78,2,Schneider Inc,2,20/09/2023,23:32:20,900,1800,EM,Legal,Annual Tax Filing
79,8,"Bennett, Scott and M",1,20/01/2023,07:52:41,1500,1500,AP,Advisory,Annual Tax Filing
80,2,"Allen, Jacobs and Ca",6,04/02/2023,18:18:30,1200,7200,AP,Management,Quarterly Review
81,9,Ray-Ferguson,6,06/09/2023,18:07:52,600,3600,AM,Legal,Legal Consultation
82,9,"Salazar, Franco and ",3,30/12/2023,12:41:18,600,1800,AP,Legal,Annual Tax Filing
83,7,Watson-Grant,8,12/06/2023,11:26:36,1500,12000,EM,Legal,Quarterly Review
84,2,"Harris, Evans and Ca",2,18/10/2023,01:04:42,600,1200,EA,Legal,Market Analysis
85,5,"Meyers, Harris and G",5,20/07/2023,05:44:27,600,3000,EM,Audit,Quarterly Review
86,8,"Sanchez, Jackson and",6,07/12/2023,04:18:57,1500,9000,AM,Tax,Legal Consultation
87,2,"Wilson, Farmer and R",12,28/08/2023,17:31:13,900,10800,AP,Audit,Strategy Consulting
88,2,"Medina, Scott and Ma",1,05/02/2023,22:34:11,300,300,EM,Legal,Strategy Consulting
89,6,Garrison Group,2,27/10/2023,22:23:50,600,1200,EM,Advisory,Strategy Consulting
90,1,"Taylor, Alvarez and ",1,07/01/2023,17:28:55,1500,1500,EM,Advisory,Strategy Consulting
91,5,Hamilton LLC,2,27/12/2023,22:07:49,1200,2400,AP,Advisory,Strategy Consulting
92,2,Dillon-Johnson,4,09/04/2023,17:58:57,600,2400,AM,Audit,Annual Tax Filing
93,3,Chapman Group,2,14/08/2023,12:12:46,1500,3000,EM,Advisory,Annual Tax Filing
94,7,"Miller, Ross and Lar",2,20/01/2023,11:50:50,300,600,EM,Advisory,Quarterly Review
95,6,Hernandez-Wall,4,01/11/2023,00:33:22,600,2400,AP,Tax,Legal Consultation
96,2,Walters-Lucas,8,18/01/2023,15:00:06,900,7200,EM,Audit,Annual Tax Filing
97,1,Mosley Ltd,6,25/02/2023,15:45:25,600,3600,EM,Tax,Legal Consultation
98,2,Fox-Kennedy,1,02/05/2023,05:27:04,1500,1500,AP,Audit,Market Analysis
99,1,"Riggs, Barber and Pu",7,03/10/2023,03:09:59,300,2100,AM,Advisory,Quarterly Review
100,4,Garcia and Sons,3,05/06/2023,06:56:28,1200,3600,EM,Management,Legal Consultation
101,9,Mata Inc,10,19/08/2023,11:04:06,300,3000,AP,Audit,Market Analysis
102,1,Thomas Inc,4,20/07/2023,07:41:44,1200,4800,AM,Legal,Strategy Consulting
103,5,"Taylor, Alvarez and ",5,10/03/2023,21:08:54,1500,7500,AP,Advisory,Quarterly Review
104,8,Luna-Moran,7,01/09/2023,08:55:51,300,2100,AM,Tax,Legal Consultation
105,8,Martinez-Lee,6,07/10/2023,03:35:48,1200,7200,AM,Legal,Legal Consultation
106,4,Joyce Group,5,21/08/2023,07:21:21,1500,7500,AP,Advisory,Market Analysis
107,1,Rodriguez Inc,4,05/09/2023,01:13:53,300,1200,EM,Audit,Market Analysis
108,4,Silva Inc,7,26/09/2023,16:11:55,900,6300,AM,Tax,Legal Consultation
109,5,"Ellison, Hart and Go",6,06/10/2023,18:56:51,900,5400,AM,Legal,Strategy Consulting
110,8,Fuentes-Dalton,8,05/06/2023,04:44:53,600,4800,AM,Audit,Market Analysis
111,9,"Martinez, Johnson an",6,03/01/2023,03:50:31,600,3600,AP,Management,Quarterly Review
112,1,"Mayo, Wilson and Wil",2,30/09/2023,23:20:38,1200,2400,EA,Management,Strategy Consulting
113,1,"Guzman, Ibarra and P",1,23/11/2023,05:34:35,300,300,AP,Advisory,Legal Consultation
114,8,Clay-Johnson,7,29/04/2023,21:36:31,600,4200,EM,Advisory,Market Analysis
115,5,"Smith, Vargas and Co",2,26/09/2023,12:11:36,1500,3000,EA,Management,Annual Tax Filing
116,3,"Walsh, Jackson and M",3,26/06/2023,05:42:56,1500,4500,EM,Tax,Legal Consultation
117,2,Thomas-Church,4,10/10/2023,13:43:26,300,1200,AP,Management,Strategy Consulting
118,8,"Dixon, Harris and Al",8,31/01/2023,09:21:58,900,7200,AP,Legal,Market Analysis
119,6,Huang-Rivera,8,16/10/2023,11:40:44,300,2400,EM,Legal,Annual Tax Filing
120,9,Knox-Buchanan,1,26/08/2023,11:05:34,1500,1500,EM,Advisory,Annual Tax Filing
121,5,Merritt Group,7,29/07/2023,19:20:06,1500,10500,AP,Advisory,Legal Consultation
122,9,"Lester, Garcia and D",5,21/04/2023,23:10:54,900,4500,EA,Audit,Market Analysis
123,4,Jenkins Group,1,23/01/2023,21:01:20,1500,1500,AM,Legal,Strategy Consulting
124,2,"Kennedy, Waters and ",8,15/03/2023,04:00:48,300,2400,EM,Advisory,Annual Tax Filing
125,8,Howard-Williams,5,27/12/2023,00:46:31,1500,7500,AP,Advisory,Strategy Consulting
126,5,"Solomon, Rocha and D",3,02/12/2023,06:29:15,300,900,EM,Advisory,Legal Consultation
127,9,"Castaneda, Hawkins a",8,20/10/2023,01:06:56,1500,12000,EM,Audit,Legal Consultation
128,3,"Harris, Harmon and P",4,05/07/2023,08:01:41,300,1200,EM,Advisory,Annual Tax Filing
129,1,"Collins, Hernandez a",1,27/05/2023,02:16:49,1500,1500,EA,Audit,Annual Tax Filing
130,9,Barber Inc,7,10/01/2023,09:25:25,600,4200,AM,Audit,Quarterly Review
131,3,Wolfe Ltd,3,22/09/2023,16:42:50,1500,4500,AP,Management,Market Analysis
132,5,"Simon, Camacho and R",1,16/10/2023,05:33:58,600,600,AP,Audit,Annual Tax Filing
133,7,Mccarthy-Campbell,5,20/01/2023,05:18:47,900,4500,AM,Advisory,Annual Tax Filing
134,7,"Jackson, Gutierrez a",8,11/02/2023,23:11:32,1200,9600,AP,Tax,Strategy Consulting
135,5,Gibson-Keller,4,01/04/2023,04:02:25,600,2400,AP,Tax,Annual Tax Filing
136,3,"Lester, Garcia and D",5,15/06/2023,22:37:25,1200,6000,EM,Management,Annual Tax Filing
137,4,"Ramirez, Estrada and",2,26/01/2023,14:58:31,600,1200,EM,Advisory,Strategy Consulting
138,4,Sanchez Group,5,03/11/2023,13:06:59,1500,7500,AP,Advisory,Legal Consultation
139,7,Johnson-Harmon,8,17/04/2023,11:28:13,1500,12000,EM,Audit,Annual Tax Filing
140,1,Hooper and Sons,4,17/12/2023,16:00:30,1500,6000,EM,Legal,Annual Tax Filing
141,9,Swanson-Garcia,5,23/06/2023,18:54:49,600,3000,EM,Legal,Quarterly Review
142,9,Richards Group,7,09/03/2023,19:41:48,300,2100,EM,Advisory,Market Analysis
143,4,White Group,3,02/05/2023,03:26:22,1200,3600,AM,Tax,Annual Tax Filing
144,3,"Perry, Miller and Co",5,17/08/2023,00:19:56,1200,6000,AM,Management,Quarterly Review
145,7,"Daniels, Russell and",4,27/04/2023,15:55:37,300,1200,EM,Management,Market Analysis
146,8,Anderson Group,5,12/12/2023,21:10:38,300,1500,EM,Management,Quarterly Review
147,1,Morrison-Meza,3,06/06/2023,17:37:17,600,1800,AM,Management,Market Analysis
148,5,Davidson LLC,4,25/05/2023,06:02:20,1500,6000,EM,Legal,Strategy Consulting
149,5,"Hill, Morton and Pen",6,09/07/2023,10:53:21,1200,7200,EA,Legal,Annual Tax Filing
150,9,Hood-Powell,1,23/02/2023,07:02:30,1500,1500,AP,Management,Quarterly Review
151,7,"Gomez, Martinez and ",4,09/03/2023,02:39:53,300,1200,AP,Advisory,Annual Tax Filing
152,3,Jackson PLC,2,06/12/2023,20:18:55,1500,3000,AM,Advisory,Quarterly Review
153,5,Smith Inc,5,08/12/2023,23:03:32,900,4500,EM,Audit,Annual Tax Filing
154,8,Watson Inc,6,16/06/2023,07:08:28,1200,7200,EM,Advisory,Strategy Consulting
155,6,Harvey-Griffin,8,18/10/2023,01:13:53,300,2400,EM,Advisory,Legal Consultation
156,3,"Garcia, Perkins and ",2,05/02/2023,08:39:31,600,1200,EM,Advisory,Market Analysis
157,8,Lawson-Wise,4,23/02/2023,04:40:16,900,3600,AM,Audit,Market Analysis
158,3,"Smith, Christensen a",2,26/06/2023,22:59:33,900,1800,AM,Advisory,Market Analysis
159,5,Whitehead Ltd,2,14/05/2023,02:26:37,300,600,EM,Advisory,Annual Tax Filing
160,9,Williams Group,6,14/10/2023,07:32:13,300,1800,EM,Audit,Legal Consultation
161,7,Rollins-Silva,5,15/01/2023,12:49:37,900,4500,AM,Audit,Strategy Consulting
162,7,Fernandez-Turner,4,04/08/2023,14:51:34,1200,4800,AM,Legal,Strategy Consulting
163,7,Bautista PLC,5,24/04/2023,09:02:35,1500,7500,AM,Advisory,Quarterly Review
164,5,Joseph-Jarvis,8,17/11/2023,21:48:56,900,7200,AP,Advisory,Strategy Consulting
165,2,Noble PLC,8,16/02/2023,19:44:19,900,7200,EM,Audit,Legal Consultation
166,2,Dunn and Sons,2,18/09/2023,07:26:41,1200,2400,AP,Management,Annual Tax Filing
167,3,Morris-Hill,12,04/02/2023,19:50:16,300,3600,AP,Tax,Annual Tax Filing
168,2,Martinez Ltd,5,06/06/2023,12:06:44,900,4500,AM,Tax,Annual Tax Filing
169,6,Smith PLC,2,13/09/2023,18:46:42,600,1200,AP,Management,Market Analysis
170,1,Ingram-Lee,6,24/04/2023,16:36:33,1500,9000,AP,Advisory,Quarterly Review
171,2,Green Ltd,5,08/05/2023,06:32:08,300,1500,EA,Advisory,Market Analysis
172,2,Conner and Sons,2,12/09/2023,21:49:32,600,1200,AM,Advisory,Annual Tax Filing
173,1,Ruiz PLC,3,17/04/2023,08:07:14,600,1800,AP,Management,Legal Consultation
174,2,Smith-Bailey,1,14/03/2023,16:36:03,1200,1200,EM,Management,Strategy Consulting
175,1,"Martin, Williams and",5,15/09/2023,23:53:49,1500,7500,EM,Advisory,Legal Consultation
176,8,Baird-Koch,4,17/03/2023,04:05:35,1500,6000,EM,Management,Strategy Consulting
177,7,"Ferguson, Phillips a",6,25/11/2023,13:58:44,600,3600,EA,Tax,Strategy Consulting
178,7,Jones Group,1,05/01/2023,08:03:10,600,600,EA,Management,Quarterly Review
179,9,Ward-Morse,7,12/04/2023,16:45:12,900,6300,EM,Legal,Annual Tax Filing
180,4,"Roberts, Blake and T",4,09/06/2023,21:17:05,900,3600,EM,Legal,Quarterly Review
181,5,Cooper Inc,7,10/12/2023,00:35:10,1500,10500,AP,Tax,Annual Tax Filing
182,7,Russell Ltd,4,31/07/2023,23:17:52,600,2400,EM,Tax,Quarterly Review
183,4,Matthews PLC,2,09/05/2023,16:28:49,1500,3000,AM,Legal,Strategy Consulting
184,2,"Beard, Chambers and ",1,25/03/2023,10:05:35,900,900,AM,Advisory,Annual Tax Filing
185,1,Austin-Moore,8,28/01/2023,01:19:47,1200,9600,AP,Audit,Market Analysis
186,9,"Smith, Scott and Kim",8,11/06/2023,15:13:38,300,2400,AM,Legal,Strategy Consulting
187,9,Walker-Long,10,23/10/2023,08:04:56,600,6000,EA,Audit,Annual Tax Filing
188,5,"Thomas, Case and Gil",4,09/12/2023,11:22:26,900,3600,EM,Audit,Legal Consultation
189,7,Gonzales Inc,3,01/07/2023,01:03:17,300,900,EM,Management,Annual Tax Filing
190,7,"Adams, Clark and Mil",5,18/04/2023,01:45:10,300,1500,EM,Tax,Quarterly Review
191,3,"Gill, Hood and Shaw",3,03/05/2023,19:03:44,300,900,EA,Legal,Strategy Consulting
192,2,Gonzalez-Hill,13,14/12/2023,15:48:41,1200,15600,EM,Tax,Annual Tax Filing
193,7,Glass-Haynes,5,13/02/2023,09:49:47,900,4500,EM,Advisory,Quarterly Review
194,8,Johnson LLC,2,24/05/2023,09:34:06,900,1800,AM,Management,Annual Tax Filing
195,6,"Kelly, Ritter and Sw",7,16/02/2023,18:22:19,1200,8400,AM,Legal,Annual Tax Filing
196,3,"Anderson, Gonzalez a",7,20/10/2023,19:30:49,900,6300,AP,Legal,Annual Tax Filing
197,7,Logan PLC,7,19/05/2023,20:53:48,600,4200,EM,Tax,Market Analysis
198,7,"Foster, Joyce and We",1,21/02/2023,05:21:06,1500,1500,EM,Advisory,Annual Tax Filing
199,8,Castro Ltd,2,24/02/2023,17:28:58,1200,2400,AP,Management,Strategy Consulting
200,2,Davis Ltd,2,01/09/2023,15:12:42,600,1200,AM,Tax,Strategy Consulting
201,7,"Daniels, Sullivan an",8,26/04/2023,14:51:58,600,4800,EA,Advisory,Strategy Consulting
202,9,"Velasquez, House and",26,02/11/2023,03:29:55,900,23400,EM,Tax,Annual Tax Filing
203,7,"Hughes, Davidson and",4,28/11/2023,04:33:06,1500,6000,AP,Audit,Quarterly Review
204,7,"Sandoval, Bowen and ",4,10/03/2023,13:19:05,900,3600,AM,Tax,Market Analysis
205,7,Garcia and Sons,6,07/12/2023,08:36:02,300,1800,EA,Tax,Legal Consultation
206,6,Green PLC,4,25/10/2023,06:38:02,600,2400,EM,Advisory,Legal Consultation
207,1,"Wyatt, Williams and ",2,10/03/2023,03:59:28,600,1200,EM,Management,Market Analysis
208,6,"Koch, Miller and Lon",9,31/10/2023,05:13:20,600,5400,AP,Audit,Annual Tax Filing
209,1,"Pollard, Villarreal ",7,19/12/2023,19:09:21,1500,10500,EM,Audit,Quarterly Review
210,5,Mccoy and Sons,5,06/11/2023,19:26:28,600,3000,EA,Advisory,Legal Consultation
211,4,Bowman-Escobar,2,02/05/2023,17:02:01,300,600,AM,Advisory,Annual Tax Filing
212,1,"Williams, Cortez and",4,14/11/2023,10:31:03,1200,4800,EM,Tax,Annual Tax Filing
213,7,Martinez-Lee,10,19/05/2023,18:43:45,300,3000,EA,Audit,Strategy Consulting
214,7,Kelly-Cunningham,3,10/04/2023,23:25:37,300,900,EM,Advisory,Market Analysis
215,8,"Wells, Greene and Ro",6,29/05/2023,11:01:37,1500,9000,AM,Tax,Quarterly Review
216,6,Erickson-Jackson,12,18/10/2023,01:36:56,1500,18000,EA,Tax,Market Analysis
217,2,Sanchez LLC,3,17/06/2023,06:06:02,900,2700,AP,Tax,Market Analysis
218,7,Crawford-Chapman,7,18/07/2023,18:00:48,1200,8400,EM,Management,Legal Consultation
219,3,Webster Ltd,7,02/02/2023,14:27:49,600,4200,EM,Advisory,Quarterly Review
220,6,"Sanchez, Phillips an",1,03/02/2023,05:23:30,300,300,AM,Tax,Annual Tax Filing
221,9,Tucker-Morales,7,11/05/2023,20:28:23,1500,10500,AP,Audit,Annual Tax Filing
222,3,Gomez Inc,1,15/03/2023,07:12:21,1500,1500,AM,Tax,Market Analysis
223,5,"Bishop, Stanley and ",3,24/09/2023,14:00:37,1500,4500,EM,Management,Annual Tax Filing
224,9,Young-Payne,8,24/02/2023,05:39:50,1500,12000,EM,Management,Strategy Consulting
225,2,Saunders-Mckenzie,8,27/07/2023,10:02:34,300,2400,AP,Advisory,Annual Tax Filing
226,5,"Hoover, Carpenter an",1,16/08/2023,19:55:10,300,300,AM,Management,Quarterly Review
227,2,Clayton and Sons,10,01/11/2023,21:26:45,600,6000,AP,Tax,Strategy Consulting
228,9,"Crawford, Blanchard ",3,14/05/2023,07:05:09,900,2700,EM,Tax,Strategy Consulting
229,4,Huff-Myers,6,15/01/2023,13:10:21,900,5400,EA,Advisory,Market Analysis
230,6,Hampton-Ward,8,30/07/2023,18:03:09,600,4800,AP,Legal,Annual Tax Filing
231,7,Bailey-Parrish,3,01/01/2023,02:41:13,600,1800,AM,Tax,Market Analysis
232,1,Wagner LLC,9,21/05/2023,16:16:24,300,2700,AP,Audit,Market Analysis
233,3,"Richardson, Price an",7,04/02/2023,08:56:23,1200,8400,AP,Tax,Annual Tax Filing
234,5,"Fields, Lawson and W",5,11/09/2023,10:33:59,600,3000,EM,Advisory,Market Analysis
235,7,"Estrada, Thomas and ",2,19/08/2023,22:46:07,900,1800,AP,Tax,Legal Consultation
236,1,Cherry-Brown,3,05/06/2023,22:59:02,600,1800,EA,Management,Annual Tax Filing
237,1,King Inc,10,16/03/2023,13:31:54,900,9000,AP,Audit,Quarterly Review
238,9,Ryan-Warner,4,30/12/2023,12:16:35,1200,4800,EM,Legal,Annual Tax Filing
239,1,Lynch-Martinez,2,02/08/2023,10:11:05,1500,3000,EA,Management,Quarterly Review
240,2,Choi Ltd,4,03/03/2023,01:08:57,1200,4800,EM,Management,Annual Tax Filing
241,9,Escobar Inc,12,30/04/2023,03:31:06,1500,18000,EM,Tax,Quarterly Review
242,2,"Harvey, Kelly and Co",3,15/09/2023,07:49:12,300,900,AP,Legal,Quarterly Review
243,8,Shelton and Sons,5,16/01/2023,02:25:29,900,4500,AP,Legal,Annual Tax Filing
244,4,Morgan and Sons,6,08/12/2023,09:05:27,600,3600,EM,Audit,Quarterly Review
245,1,"Garcia, Wagner and A",5,19/06/2023,22:46:58,600,3000,AM,Management,Legal Consultation
246,4,Newman Ltd,8,06/04/2023,05:12:25,600,4800,EA,Tax,Strategy Consulting
247,5,"Rice, Martin and She",5,23/08/2023,11:55:52,300,1500,EM,Legal,Legal Consultation
248,1,Martin-Cruz,10,10/07/2023,22:53:43,600,6000,EM,Tax,Market Analysis
249,9,Wilcox-Hernandez,8,08/01/2023,05:19:52,1500,12000,EM,Management,Strategy Consulting
250,5,Green Group,6,26/02/2023,14:01:24,300,1800,EA,Management,Market Analysis
251,8,Harrison Ltd,4,29/03/2023,02:47:53,900,3600,EM,Legal,Quarterly Review
252,5,Watson-Grant,6,01/01/2023,16:50:11,900,5400,AM,Advisory,Legal Consultation
253,1,"Shepard, Carrillo an",2,04/09/2023,20:00:49,900,1800,EM,Management,Quarterly Review
254,9,Hernandez-Little,8,20/04/2023,08:14:24,1500,12000,AP,Management,Legal Consultation
255,3,Gonzales PLC,3,26/04/2023,08:28:13,1200,3600,EM,Tax,Market Analysis
256,8,"Solomon, Conner and ",6,03/11/2023,11:17:48,1200,7200,EM,Management,Legal Consultation
257,7,Anderson-Aguilar,1,22/03/2023,03:05:28,900,900,AP,Advisory,Quarterly Review
258,6,Higgins-Jones,3,15/10/2023,04:41:42,300,900,EA,Advisory,Annual Tax Filing
259,3,Jones and Sons,5,22/12/2023,11:54:28,1200,6000,AM,Legal,Legal Consultation
260,8,Scott Group,4,30/04/2023,00:58:11,600,2400,EM,Legal,Quarterly Review
261,2,Collins Group,7,15/05/2023,11:45:35,900,6300,EM,Management,Strategy Consulting
262,9,Cooper Ltd,6,05/10/2023,02:05:35,300,1800,AM,Audit,Strategy Consulting
263,8,Sloan Group,4,03/04/2023,11:07:49,600,2400,EM,Legal,Quarterly Review
264,4,"Duncan, Mcbride and ",2,31/05/2023,21:57:31,1200,2400,EA,Legal,Market Analysis
265,4,Black-Lang,1,01/12/2023,07:58:35,1500,1500,AM,Legal,Legal Consultation
266,9,"Barker, Rogers and E",6,23/02/2023,15:58:13,600,3600,EM,Audit,Quarterly Review
267,5,Lamb-Davis,4,18/07/2023,09:34:41,300,1200,AP,Management,Legal Consultation
268,6,"Bush, Jones and Park",6,01/11/2023,23:19:17,1500,9000,EM,Management,Annual Tax Filing
269,1,Hoffman-Turner,3,16/08/2023,03:13:07,900,2700,EM,Management,Annual Tax Filing
270,4,"Davis, Miller and Mc",3,15/12/2023,11:13:39,300,900,EM,Tax,Annual Tax Filing
271,7,"Arnold, Warren and S",6,05/02/2023,10:50:31,1500,9000,EM,Tax,Annual Tax Filing
272,9,"Vance, Kent and Long",3,24/10/2023,16:21:12,300,900,EM,Tax,Legal Consultation
273,4,"Brown, Alvarado and ",1,29/11/2023,07:06:23,1500,1500,AM,Tax,Strategy Consulting
274,6,"Jensen, Clark and Lu",2,14/10/2023,08:09:17,900,1800,EA,Advisory,Strategy Consulting
275,3,Alvarado PLC,10,03/01/2023,14:16:50,300,3000,AP,Tax,Market Analysis
276,5,"Dickerson, Perry and",6,02/05/2023,03:41:33,600,3600,EM,Legal,Quarterly Review
277,7,Schultz PLC,1,08/10/2023,22:57:41,1200,1200,EM,Tax,Market Analysis
